Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,235.509995,261.799988,235.380005,260.850006,252.786438,1893700
2019-08-14,253.000000,264.739990,252.809998,262.130005,254.026855,1576600
2019-08-15,262.230011,262.230011,250.169998,254.720001,246.845932,993700
2019-08-16,257.619995,259.579987,252.110001,258.480011,250.489716,686400
2019-08-19,262.109985,262.880005,257.350006,262.250000,254.143158,576700
2019-08-20,253.479996,257.549988,248.910004,249.110001,241.409348,775500
2019-08-21,252.449997,256.579987,251.039993,253.360001,245.527985,545000
2019-08-22,253.509995,253.509995,246.669998,247.110001,240.458221,539000
2019-08-23,245.800003,248.710007,243.899994,247.229996,240.574997,588600
2019-08-26,249.710007,250.389999,245.809998,248.929993,242.229218,913800
2019-08-27,251.690002,257.260010,251.289993,256.540009,249.634399,844300
2019-08-28,255.000000,256.000000,249.660004,250.490005,243.747238,524300
2019-08-29,253.779999,256.000000,251.460007,253.679993,246.851364,596600
2019-08-30,254.850006,255.789993,252.009995,255.000000,248.135834,868400
2019-09-03,253.880005,259.670013,250.369995,258.429993,251.473511,809700
2019-09-04,262.329987,274.549988,262.160004,268.380005,261.155670,1074500
2019-09-05,270.899994,273.500000,268.519989,271.059998,263.763519,671800
2019-09-06,272.000000,282.230011,271.630005,278.809998,271.304901,1237900
2019-09-09,279.000000,282.149994,278.339996,280.339996,272.793701,584000
2019-09-10,278.170013,279.980011,269.899994,272.720001,265.378845,733700
2019-09-11,273.170013,277.709991,270.429993,275.679993,268.259155,542200
2019-09-12,277.299988,278.209991,272.619995,273.540009,266.176788,395400
2019-09-13,274.019989,278.290009,272.390015,275.269989,267.860199,528600
2019-09-16,272.160004,274.420013,269.230011,270.380005,263.101868,489800
2019-09-17,270.890015,271.950012,265.730011,270.160004,262.887756,613700
2019-09-18,271.109985,271.929993,266.420013,270.019989,262.751526,470100
2019-09-19,269.480011,275.329987,269.149994,271.230011,263.928955,638800
2019-09-20,270.160004,274.179993,268.029999,269.440002,262.187134,607200
2019-09-23,267.149994,268.440002,265.339996,266.700012,259.520905,565800
2019-09-24,269.100006,269.100006,260.600006,263.100006,256.017792,377100
2019-09-25,260.959991,266.500000,258.929993,265.320007,258.178040,623300
2019-09-26,265.910004,275.440002,265.000000,273.350006,265.991882,533900
2019-09-27,273.350006,277.899994,255.600006,260.690002,253.672684,1621200
2019-09-30,263.369995,275.670013,263.010010,266.179993,259.014893,1192400
2019-10-01,266.040009,267.600006,255.350006,262.750000,255.677216,700900
2019-10-02,262.000000,263.970001,257.190002,260.149994,253.147217,579500
2019-10-03,261.480011,265.369995,259.350006,262.970001,255.891312,645600
2019-10-04,263.369995,265.670013,262.019989,263.630005,256.533539,543400
2019-10-07,263.489990,266.440002,262.179993,264.390015,257.273071,542700
2019-10-08,260.750000,261.880005,252.940002,254.639999,247.785538,808000
2019-10-09,255.720001,258.380005,253.759995,256.410004,249.507874,444900
2019-10-10,257.339996,261.290009,255.419998,258.959991,251.989227,544900
2019-10-11,263.880005,274.200012,262.000000,268.790009,261.554657,809700
2019-10-14,266.440002,279.410004,265.500000,276.589996,269.144653,793000
2019-10-15,277.420013,287.000000,277.250000,286.290009,278.583588,1173300
2019-10-16,284.299988,295.000000,283.190002,294.769989,286.835266,1399400
2019-10-17,294.070007,295.000000,286.510010,288.850006,281.074677,706900
2019-10-18,288.970001,291.309998,284.850006,286.029999,278.330566,657800
2019-10-21,290.109985,291.000000,280.980011,281.380005,273.805725,554100
2019-10-22,283.230011,285.190002,272.899994,274.260010,266.877380,770400
2019-10-23,272.630005,274.859985,268.980011,270.850006,263.559174,885900
2019-10-24,273.399994,285.989990,272.750000,282.880005,275.265350,767300
2019-10-25,282.880005,285.799988,279.799988,281.160004,273.591675,660600
2019-10-28,282.160004,287.779999,280.410004,283.670013,276.034119,406900
2019-10-29,283.140015,284.559998,279.750000,283.309998,275.683777,390600
2019-10-30,284.119995,286.640015,281.209991,286.140015,278.437622,361000
2019-10-31,286.179993,287.989990,282.700012,285.859985,278.165131,464600
2019-11-01,288.000000,292.959991,285.369995,289.540009,281.746094,514100
2019-11-04,298.230011,309.239990,298.230011,307.720001,299.436707,1111600
2019-11-05,308.500000,309.010010,293.140015,294.040009,286.124969,881000
2019-11-06,294.420013,303.029999,292.679993,299.309998,291.253082,630800
2019-11-07,301.690002,303.950012,298.359985,300.130005,292.051025,431100
2019-11-08,298.500000,299.500000,295.649994,299.040009,290.990356,233600
2019-11-11,297.329987,297.329987,292.690002,295.269989,287.321838,308000
2019-11-12,298.019989,298.489990,294.000000,296.480011,288.499268,356100
2019-11-13,290.899994,296.730011,290.130005,295.010010,287.068848,472100
2019-11-14,295.660004,295.660004,287.220001,289.679993,281.882294,445600
2019-11-15,291.750000,294.709991,290.429993,291.230011,283.390594,270400
2019-11-18,290.359985,292.529999,288.000000,290.239990,282.427216,325500
2019-11-19,292.109985,292.540009,285.829987,288.500000,280.734070,524100
2019-11-20,285.000000,289.429993,283.559998,287.809998,280.062653,592800
2019-11-21,295.000000,305.489990,288.670013,294.390015,286.465515,1451400
2019-11-22,298.380005,311.769989,298.380005,310.399994,302.044556,1288800
2019-11-25,305.000000,305.010010,298.980011,304.589996,296.390961,1324200
2019-11-26,303.609985,315.980011,301.940002,314.510010,306.043945,1253900
2019-11-27,312.140015,320.000000,305.500000,319.239990,310.646606,1021300
2019-11-29,313.049988,319.070007,311.799988,315.320007,306.832123,801300
2019-12-02,315.940002,316.989990,312.440002,313.769989,305.323853,605500
2019-12-03,308.399994,317.910004,305.739990,317.320007,308.778290,543300
2019-12-04,323.350006,325.000000,316.649994,318.290009,309.722198,644500
2019-12-05,315.200012,320.929993,312.920013,314.200012,313.211182,658800
2019-12-06,316.489990,316.489990,308.690002,309.670013,308.695435,435900
2019-12-09,309.000000,311.250000,307.279999,308.040009,307.070557,487200
2019-12-10,309.359985,310.929993,307.489990,309.239990,308.266754,613800
2019-12-11,312.890015,315.519989,310.190002,310.500000,309.522797,539400
2019-12-12,308.179993,311.429993,301.519989,304.250000,303.292480,773400
2019-12-13,306.000000,306.359985,302.089996,304.000000,303.043243,833300
2019-12-16,306.500000,309.029999,302.070007,304.660004,303.701172,782500
2019-12-17,304.750000,305.750000,298.459991,304.570007,303.611481,745100
2019-12-18,305.450012,305.690002,300.640015,301.619995,300.670746,746300
2019-12-19,303.100006,310.600006,301.940002,307.190002,306.223206,847000
2019-12-20,308.839996,308.859985,303.989990,305.179993,304.219543,673800
2019-12-23,304.779999,305.989990,302.339996,303.369995,302.415222,413300
2019-12-24,304.320007,304.320007,300.709991,300.869995,299.923096,257400
2019-12-26,302.470001,308.390015,302.040009,306.279999,305.316071,834300
2019-12-27,308.130005,308.130005,303.290009,306.109985,305.146606,376900
2019-12-30,307.250000,307.329987,302.959991,303.589996,302.634552,342600
2019-12-31,305.630005,307.160004,302.579987,306.640015,305.674957,342300
2020-01-02,313.779999,337.880005,313.589996,328.700012,327.665527,1374400
2020-01-03,323.290009,331.859985,322.190002,324.660004,323.638245,657500
